Bed_80,Bed_86,State
4.6999998093,4.1999998093,1
3.9000000954,3.2999999523,2
4.4000000954,4,3
4.4000000954,4.3000001907,4
3.7999999523,3.5,5
3.5,3.0999999046,6
4.5,4.3000001907,7
4.1999998093,3.9000000954,8
4.8000001907,4.5999999046,9
4.6999998093,4.4000000954,10
4.5,4.1999998093,11
5.0999999046,4.5,12
4.4000000954,4,13
4.9000000954,4.5,14
5.6999998093,5,15
5.6999998093,5.1999998093,16
5.6999998093,5.0999999046,17
7.4000000954,7.1999998093,18
5.5,6.5,19
6,5.9000000954,20
5.8000001907,5,21
3.5999999046,3.4000000954,22
3.5999999046,3.2999999523,23
7.3000001907,7.6999998093,24
4.0999999046,3.7000000477,25
5.5,5.0999999046,26
4.1999998093,3.5,27
3.9000000954,3.4000000954,28
4.5999999046,4.3000001907,29
5.0999999046,4.4000000954,30
4.5,4.4000000954,31
5.5,5.3000001907,32
5.0999999046,5,33
5.3000001907,5.1999998093,34
5,4.6999998093,35
4.8000001907,4.5,36
4.5999999046,4,37
4.6999998093,3.7999999523,38
5.9000000954,5.6999998093,39
3.7000000477,3.2999999523,40
3.5999999046,4.4000000954,41
4.1999998093,3.5,42
3.0999999046,2.9000000954,43
3.5999999046,3.0999999046,44
3.0999999046,2.7000000477,45
4.1999998093,3.7000000477,46
3.0999999046,3,47
3.5,3.0999999046,48
3.5999999046,3.0999999046,49
2.7000000477,2.4000000954,50
3.0999999046,2.5999999046,51
